ID;long;lat;tipo;Mg;Ca;Na;K;HCO3;Cl;SO4
M-25962;-73.8234;7.1846;Pozo de monitoreo;0.06;0.1485;0.302608696;0.03974359;0.444262295;0.081690141;0.1875
M-26717;-73.8436;7.2275;Pozo;0.02;0.01;0.126086957;0.023076923;0.001;0.073239437;0.0125
M-26531;-73.4487;7.326;Pozo de monitoreo;0.87;1.61;19.95652174;0.104871795;4.573770492;12.56338028;0.104166667
M-259860;-74.5281;6.2052;Aljibe;0.65;1.075;1.408695652;0.005;2.583278689;0.906197183;0.64375
M-3010;-73.6759;8.0574;Pozo de monitoreo;0.1;0.995;0.713043478;0.114102564;1.240983607;0.198309859;0.00125
M-255270;-73.8483;7.2477;;0.02;0.0391;0.025434783;0.005;0.001;0.028169014;0.083333333
M-0043;-73.7445;7.3621;Manantial;0.02;0.04895;0.256956522;0.043076923;0.367213115;0.092957746;0.104166667
M-2802;-73.7445;7.3621;Manantial;0.02;0.04895;0.256956522;0.043076923;0.367213115;0.092957746;0.104166667
M-0023;-73.798;7.4032;Aljibe;0.06;0.01565;0.111304348;0.016589744;0.081967213;0.092957746;0.104166667
M-20487;-73.9017;6.6326;;0.02;0.0448;0.330434783;0.005;0.001;0.202816901;0.083333333
M-242430;-73.798;7.4032;Aljibe;0.06;0.01565;0.111304348;0.016589744;0.081967213;0.092957746;0.104166667
M-0054;-73.6683;6.9147;Manantial;0.1;0.2845;0.12826087;0.00974359;0.063934426;0.126197183;0.1875
M-25957;-73.6683;6.9147;Manantial;0.1;0.2845;0.12826087;0.00974359;0.063934426;0.126197183;0.1875
M-0016;-73.8847;7.3185;Aljibe;0.06;0.121;0.25;0.013871795;0.413114754;0.092957746;0.104166667
M-236570;-73.5322;7.685;Pozo;0.13;0.141;1.034782609;0.005;2.050819672;0.005;0.001
M-26835;-73.6069;7.3609;Pozo;0.03;0.035;0.069565217;0.015384615;0.001;0.070422535;0.03125
M-3046;-73.6532;7.9866;Pozo de monitoreo;0.27;0.965;0.773913043;0.074358974;1.41852459;0.05943662;0.039791667
